57089	3402	11352	668
57091	3447	11418	737
57106	3319	10609	7942
57124	3338	10656	10321
57127	3304	10702	5095
57131	3426	10858	4100
57134	3331	10759	8272
57140	3340	10907	8182
57143	3352	10958	7422
57144	3326	10909	6937
57154	3332	11054	105230
57156	3318	11130	2503
57178	3302	11235	1292
57181	3353	11303	1364
57193	3347	11431	526
57206	3226	10551	5138
57211	3250	10615	8361
57232	3303	10816	4849
57237	3204	10802	6740
57238	3232	10754	6939
57245	3243	10902	2908
57251	3300	11025	2491
57256	3239	11047	2865
57259	3202	11046	4269
57265	3223	11140	900
57278	3202	11210	686
57279	3209	11245	1255
57285	3223	11325	1530
57290	3300	11401	827
57297	3208	11403	1145
57306	3135	10558	3826
57313	3152	10646	4177
57314	3121	10604	4057
